"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sti_prep_md,prep_r_survey,,radio,"Concerns about having to go to the doctor and pharmacy every three months to get my PrEP medication.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,11,stiprepopinions2,,
sti_prep_talkmd,prep_r_survey,,radio,"Having to talk to my doctor about my sex life.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,12,stiprepopinions2,,
sti_prep_othersti,prep_r_survey,,radio,"Concerns that PrEP doesn't protect against other sexually transmitted infections.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,13,stiprepopinions2,,
sti_prep_pay,prep_r_survey,,radio,"Not having to pay for PrEP.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,14,stiprepopinions2,,
sti_prep_testing,prep_r_survey,,radio,"Access to free HIV testing.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,15,stiprepopinions2,,
sti_prep_care,prep_r_survey,,radio,"Access to free sexual health care/monitoring while on PrEP.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,16,stiprepopinions2,,
sti_prep_counsel,prep_r_survey,,radio,"Access to one-on-one counseling and support around PrEP use.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,17,stiprepopinions2,,
sti_prep_text,prep_r_survey,,radio,"Access to text based support for PrEP use.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,18,stiprepopinions2,,
sti_prep_sexcounsel,prep_r_survey,,radio,"Access to support or counseling about my sex life.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,19,stiprepopinions2,,
sti_prep_primarymd,prep_r_survey,,radio,"Not having to go to my regular doctor to get PrEP.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,20,stiprepopinions2,,
sti_prep_group,prep_r_survey,,radio,"Access to group-based adherence support for PrEP use.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,21,stiprepopinions2,,
sti_prep_mental,prep_r_survey,,radio,"Access to support or counseling about my mental health.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,22,stiprepopinions2,,
sti_prep_job,prep_r_survey,,radio,"Access to support or counseling about employment.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,23,stiprepopinions2,,
sti_prep_housing,prep_r_survey,,radio,"Access to support or counseling about housing.","1, Not at all important | 2, Slightly important | 3, Moderately important | 4, Important | 5, Very important | -98, Don't know | -99, Refused",,,,,,,,,24,stiprepopinions2,,
sti_preptransition4,prep_r_survey,,descriptive,"Next we have a few questions about your experiences getting healthcare:",,,,,,,,,,,,,
sti_healthcare_afford,prep_r_survey,,radio,"In general, are you able to afford your healthcare?","0, No | 1, Yes | -98, Don't know | -99, Refused",,,,,,,,,1,stihealthcare,,
sti_healthcare_primary,prep_r_survey,,radio,"Do you have a regular healthcare provider or clinic to go to if you are sick?","0, No | 1, Yes | -98, Don't know | -99, Refused",,,,,,,,,2,stihealthcare,,
sti_healthcare_race,prep_r_survey,,radio,"Have you ever been discriminated against based on your race or ethnicity when receiving medical care?","0, No | 1, Yes | -98, Don't know | -99, Refused",,,,,,,,,3,stihealthcare,,
sti_healthcare_sexorient,prep_r_survey,,radio,"Have you ever been discriminated against based on your sexual orientation when receiving medical care?","0, No | 1, Yes | -98, Don't know | -99, Refused",,,,,,,,,4,stihealthcare,,
viol_event,prep_r_survey,"<strong><em><div style=""font-size: 14pt""> PART XI. </strong></em></div>



Okay, now I would like to ask about your experiences with violence and other stressful events.",radio,"Have you ever experience or witnessed or had to deal with an extremely traumatic event that included actual or threatened death or serious injury to you or someone else?","1, Yes | 0, No | -99, Refused","Examples of traumatic events include: serious accidents, sexual or physical assualt, a terrorist attack, being held hostage, kidnapping, fire, discovering a body, sudden death of someone close to you, war, or natural disaster.",,,,,,,,1,,,
viol_fear,prep_r_survey,,radio,"Did you respond with intense fear, helplessness or horror?","1, Yes | 0, No | -99, Refused",,,,,,"[viol_event] = '1'",,,2,,,
viol_reexp,prep_r_survey,,radio,"During the past month, have you re-experienced the event in a distressing way (such as dreams, recollections, flashbacks, or physical reactions)?","1, Yes | 0, No | -99, Refused",,,,,,"[viol_event] = '1'",,,3,,,
viol_avoidtalk,prep_r_survey,,radio,"Have you avoided thinking about or talking about the event(s)?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,4,violeffects,,
viol_avoid,prep_r_survey,,radio,"Have you avoided activities, places or people that remind you of the event(s)?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,5,violeffects,,
viol_recall,prep_r_survey,,radio,"Have you had trouble recalling some important part of what happened?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,6,violeffects,,
viol_hobby,prep_r_survey,,radio,"Have you become much less interested in hobbies or social activities?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,7,violeffects,,
viol_detach,prep_r_survey,,radio,"Have you felt detached or estranged from others?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,8,violeffects,,
viol_numb,prep_r_survey,,radio,"Have you noticed that your feelings are numbed?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,9,violeffects,,
viol_die,prep_r_survey,,radio,"Have you felt that your life will be shortened or that you will die sooner than other people?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[viol_reexp] = '1'",,,10,violeffects,,
gateway_3,prep_r_survey,,calc,"Question 11 Gateway (3 or more):",[viol_avoidtalk]+[viol_avoid]+[viol_recall]+[viol_hobby]+[viol_detach]+[viol_numb]+[viol_die],,,,,,,,LV,,,,@HIDDEN-SURVEY
viol_sleep,prep_r_survey,,radio,"Have you had difficulty sleeping?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[gateway_3] >= 3",,,11,violeffects2,,
viol_anger,prep_r_survey,,radio,"Were you especially irritable or did you have outbursts of anger?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[gateway_3] >= 3",,,12,violeffects2,,
viol_focus,prep_r_survey,,radio,"Have you had difficulty concentrating?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[gateway_3] >= 3",,,13,violeffects2,,
viol_nerve,prep_r_survey,,radio,"Were you nervous or constantly on your guard?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[gateway_3] >= 3",,,14,violeffects2,,
viol_startle,prep_r_survey,,radio,"Were you easily startled?","1, Yes | 0, No | .a, N/A | .b, Don't know | .c, Refused",,,,,,"[gateway_3] >= 3",,,15,violeffects2,,
gateway_2,prep_r_survey,,calc,"Question 16 Gateway (2 or more):",[viol_sleep]+[viol_anger]+[viol_focus]+[viol_nerve]+[viol_startle],,,,,,,,LV,,,,@HIDDEN-SURVEY
viol_interfere,prep_r_survey,,radio,"During the past month, have these problems significantly interfered with your work or social activities, or caused significant distress?","1, Yes | 0, No | -94, N/A | -98, Don't know | -99, Refused",,,,,,"[gateway_2] >= 2",,,16,,,
viol_transition,prep_r_survey,,descriptive,"Okay, now I would like to ask you about the frequency and types of violence and other stressful events that you have experienced. Please answer with regards to number of times. Mark only one response for each question:",,,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,,,,
viol_closedeath,prep_r_survey,,radio,"Had a close relative or friend die violently.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,1,violfreqtype,,
viol_closeinjure,prep_r_survey,,radio,"Had a close relative or friend seriously injured because of violence.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,2,violfreqtype,,
viol_closeattack,prep_r_survey,,radio,"Had a close relative or friend robbed or attacked.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,3,violfreqtype,,
viol_sawbeat,prep_r_survey,,radio,"Seen someone being beaten.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,4,violfreqtype,,
viol_victim,prep_r_survey,,radio,"Been a victim of violence.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,5,violfreqtype,,
viol_sawbody,prep_r_survey,,radio,"Seen a dead body not at a funeral.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,6,violfreqtype,,
viol_sawgun,prep_r_survey,,radio,"Witnessed a gun related incident.","0, None or 0 times | 1, 1 time | 2, 2 times | 3, 3 times | 4, 4 times | 5, 5 times | 6, 6 or more times | -98, Don't know | -99, Refused",,,,,,"[viol_event] = '1' and [viol_fear] = '1' and [viol_reexp] = '1' and [gateway_3] >= 3 and [gateway_2] >= 2",,,7,violfreqtype,,
debrf_feeling,prep_r_survey," ",notes,"We've asked a lot of questions today about a variety of different topics.

How are you feeling after answering these questions?",,,,,,,,,RH,,,,
debrf_upset,prep_r_survey,,yesno,"Are you feeling down or upset?",,,,,,,,,,,,,
debrf_harm,prep_r_survey,,yesno,"Are you feeling that you might want to hurt yourself?",,,,,,,"[debrf_upset] = '1'",,,,,,
debrf_disclosure,prep_r_survey,,descriptive,"At the beginning of this project you signed a consent form saying that you understand your responses will be kept confidential, unless some potential for danger or harm to self and/or others was identified. Following are some standard questions we are required to ask all prospective participants if they report feeling upset or disturbed anytime during or after answering the interview questions.",,,,,,,"[debrf_harm] = '1' or [debrf_upset] = '1'",,,,,,
debrf_thoughthurt,prep_r_survey,,yesno,"Are you currently having thoughts of hurting yourself?",,,,,,,"[debrf_upset] = '1' or [debrf_harm] = '1'",,,1,,,
debrf_planhurt,prep_r_survey,,yesno,"Do you have a plan for hurting yourself?",,,,,,,"[debrf_thoughthurt] = '1'",,,2,,,
debrf_plandetails,prep_r_survey,,notes,"Can you tell me more about what you were thinking of doing to hurt yourself?",,,,,,,"[debrf_planhurt] = '1'",,RH,3,,,
debrf_haveweapon,prep_r_survey,,yesno,"Do you have a weapon (gun, knife, pills, etc.) to use for harming yourself?",,,,,,,"[debrf_planhurt] = '1'",,,3a,,,
debrf_prevhurt,prep_r_survey,,notes,"Have you ever tried to hurt yourself before?",,,,,,,"[debrf_upset] = '1' and [debrf_harm] = '1'",,RH,4,,,
debrf_hospsuic,prep_r_survey,,notes,"Have you ever been hospitalized for a suicide attempt?",,,,,,,"[debrf_upset] = '1' and [debrf_harm] = '1'",,RH,5,,,
debrf_anyoneknow,prep_r_survey,,notes,"Does anyone know that you've been having these thoughts? If so, who?",,,,,,,"[debrf_upset] = '1' and [debrf_harm] = '1'",,RH,6,,,
debrf_therapist,prep_r_survey,,notes,"Do you currently have a therapist? If yes, does your therapist know that you've been having these thoughts?",,,,,,,"[debrf_upset] = '1' and [debrf_harm] = '1'",,RH,7,,,
